amount,transactionAmountLevel,taxHavenRiskLevel,transactionType,isFraud
331.95,LOW,NONE,DOMESTIC,0
54.04,LOW,NONE,DOMESTIC,0
605.91,MEDIUM,NONE,DOMESTIC,0
783.2,MEDIUM,NONE,DOMESTIC,0
15.8,LOW,NONE,DOMESTIC,0
37.93,LOW,NONE,DOMESTIC,0
261.44,LOW,LOW,DOMESTIC,0
143.55,LOW,NONE,INTERNATIONAL,0
215.07,LOW,NONE,INTERNATIONAL,0
69.55,LOW,NONE,DOMESTIC,0
721.13,MEDIUM,NONE,DOMESTIC,0
628.7,MEDIUM,NONE,DOMESTIC,0
240.51,LOW,NONE,DOMESTIC,0
1007.68,HIGH,NONE,INTERNATIONAL,0
413.54,LOW,NONE,DOMESTIC,0
68.96,LOW,NONE,DOMESTIC,0
361.93,LOW,NONE,DOMESTIC,0
60.29,LOW,NONE,DOMESTIC,0
720.2,MEDIUM,NONE,INTERNATIONAL,0
205.66,LOW,NONE,DOMESTIC,0
171.41,LOW,NONE,DOMESTIC,0
87.74,LOW,NONE,DOMESTIC,0
1146.03,HIGH,NONE,INTERNATIONAL,0
178.58,LOW,NONE,DOMESTIC,0
123.39,LOW,HIGH,INTERNATIONAL,0
136.76,LOW,NONE,INTERNATIONAL,1
451.35,LOW,NONE,DOMESTIC,0
360.31,LOW,NONE,INTERNATIONAL,0
384.07,LOW,NONE,DOMESTIC,0
393.56,LOW,NONE,DOMESTIC,0
3963.38,HIGH,NONE,DOMESTIC,1
127.1,LOW,NONE,DOMESTIC,0
110.18,LOW,NONE,DOMESTIC,0
73.33,LOW,NONE,DOMESTIC,0
505.32,MEDIUM,NONE,DOMESTIC,0
1010.03,HIGH,NONE,DOMESTIC,0
188.63,LOW,NONE,DOMESTIC,0
70.77,LOW,NONE,DOMESTIC,0
72.28,LOW,NONE,DOMESTIC,0
529.5,MEDIUM,NONE,INTERNATIONAL,0
600.05,MEDIUM,NONE,INTERNATIONAL,0
458.01,LOW,NONE,DOMESTIC,0
89.59,LOW,NONE,DOMESTIC,0
300.98,LOW,NONE,DOMESTIC,0
257.53,LOW,HIGH,INTERNATIONAL,0
295.56,LOW,NONE,DOMESTIC,0
713.41,MEDIUM,MEDIUM,INTERNATIONAL,0
297.52,LOW,NONE,DOMESTIC,0
550.13,MEDIUM,NONE,DOMESTIC,0
241.02,LOW,NONE,DOMESTIC,0
325.04,LOW,NONE,DOMESTIC,0
515.88,MEDIUM,MEDIUM,INTERNATIONAL,0
30.77,LOW,NONE,DOMESTIC,0
142.89,LOW,NONE,DOMESTIC,0
116.59,LOW,NONE,DOMESTIC,0
92.86,LOW,NONE,DOMESTIC,0
151.74,LOW,NONE,DOMESTIC,0
1655.4,HIGH,NONE,DOMESTIC,0
68.36,LOW,NONE,DOMESTIC,0
813.06,MEDIUM,NONE,DOMESTIC,0
22.69,LOW,NONE,DOMESTIC,0
139.98,LOW,NONE,DOMESTIC,0
274.06,LOW,NONE,DOMESTIC,0
485.43,LOW,NONE,DOMESTIC,1
574.66,MEDIUM,NONE,INTERNATIONAL,0
642.04,MEDIUM,NONE,DOMESTIC,0
137.39,LOW,NONE,DOMESTIC,0
117.85,LOW,NONE,INTERNATIONAL,0
700.57,MEDIUM,NONE,DOMESTIC,0
169.93,LOW,LOW,DOMESTIC,0
39.31,LOW,NONE,DOMESTIC,0
47.64,LOW,NONE,DOMESTIC,0
63.58,LOW,NONE,DOMESTIC,0
430.43,LOW,NONE,INTERNATIONAL,0
266.64,LOW,HIGH,INTERNATIONAL,1
558.8,MEDIUM,NONE,DOMESTIC,0
123.57,LOW,NONE,DOMESTIC,0
272.5,LOW,NONE,INTERNATIONAL,0
511.92,MEDIUM,NONE,DOMESTIC,0
144.9,LOW,NONE,DOMESTIC,0
407.6,LOW,NONE,DOMESTIC,0
90.02,LOW,NONE,DOMESTIC,0
134.76,LOW,NONE,DOMESTIC,0
131.4,LOW,NONE,DOMESTIC,0
43.78,LOW,NONE,DOMESTIC,0
424.55,LOW,NONE,DOMESTIC,0
116.74,LOW,NONE,INTERNATIONAL,0
223.74,LOW,NONE,DOMESTIC,0
421.0,LOW,NONE,DOMESTIC,0
402.0,LOW,NONE,DOMESTIC,0
540.18,MEDIUM,NONE,DOMESTIC,0
192.61,LOW,NONE,INTERNATIONAL,0
124.23,LOW,NONE,INTERNATIONAL,0
197.55,LOW,NONE,DOMESTIC,0
22.55,LOW,NONE,DOMESTIC,0
31.19,LOW,NONE,DOMESTIC,0
36.89,LOW,NONE,DOMESTIC,0
57.25,LOW,NONE,DOMESTIC,0
377.41,LOW,NONE,DOMESTIC,0
64.8,LOW,NONE,DOMESTIC,0
132.04,LOW,NONE,DOMESTIC,0
1271.03,HIGH,NONE,DOMESTIC,0
136.0,LOW,NONE,DOMESTIC,0
595.42,MEDIUM,NONE,DOMESTIC,0
62.38,LOW,NONE,DOMESTIC,0
166.72,LOW,NONE,DOMESTIC,0
61.01,LOW,NONE,DOMESTIC,0
139.2,LOW,NONE,DOMESTIC,0
684.06,MEDIUM,NONE,DOMESTIC,0
21.36,LOW,NONE,INTERNATIONAL,0
395.48,LOW,LOW,INTERNATIONAL,0
303.25,LOW,NONE,DOMESTIC,0
98.64,LOW,NONE,DOMESTIC,0
31.23,LOW,NONE,DOMESTIC,0
242.5,LOW,NONE,DOMESTIC,0
107.64,LOW,NONE,DOMESTIC,0
301.19,LOW,NONE,DOMESTIC,0
226.59,LOW,NONE,DOMESTIC,0
1912.24,HIGH,NONE,DOMESTIC,0
159.25,LOW,NONE,DOMESTIC,0
55.25,LOW,NONE,DOMESTIC,0
280.24,LOW,NONE,DOMESTIC,0
296.08,LOW,NONE,DOMESTIC,0
1378.2,HIGH,NONE,DOMESTIC,1
679.28,MEDIUM,NONE,DOMESTIC,1
356.17,LOW,NONE,DOMESTIC,0
1586.18,HIGH,NONE,DOMESTIC,0
44.2,LOW,NONE,DOMESTIC,0
92.76,LOW,HIGH,INTERNATIONAL,0
62.98,LOW,NONE,DOMESTIC,0
129.98,LOW,MEDIUM,DOMESTIC,0
34.3,LOW,NONE,DOMESTIC,0
518.57,MEDIUM,NONE,INTERNATIONAL,0
162.98,LOW,NONE,INTERNATIONAL,0
30.21,LOW,NONE,INTERNATIONAL,0
55.85,LOW,NONE,DOMESTIC,0
335.92,LOW,NONE,DOMESTIC,0
682.05,MEDIUM,NONE,DOMESTIC,0
3259.13,HIGH,NONE,DOMESTIC,0
11241.21,HIGH,NONE,DOMESTIC,0
384.94,LOW,LOW,DOMESTIC,1
57.84,LOW,NONE,DOMESTIC,0
12.37,LOW,NONE,INTERNATIONAL,0
315.78,LOW,NONE,DOMESTIC,0
73.42,LOW,NONE,DOMESTIC,0
125.57,LOW,NONE,DOMESTIC,0
96.28,LOW,NONE,INTERNATIONAL,0
181.92,LOW,LOW,INTERNATIONAL,0
927.69,MEDIUM,NONE,DOMESTIC,0
271.96,LOW,NONE,INTERNATIONAL,0
177.59,LOW,MEDIUM,INTERNATIONAL,0
54.35,LOW,NONE,INTERNATIONAL,0
22.94,LOW,NONE,INTERNATIONAL,0
114.1,LOW,NONE,DOMESTIC,0
204.59,LOW,NONE,INTERNATIONAL,0
2393.07,HIGH,NONE,DOMESTIC,0
262.3,LOW,NONE,DOMESTIC,0
829.09,MEDIUM,NONE,DOMESTIC,0
112.12,LOW,HIGH,INTERNATIONAL,1
44.43,LOW,NONE,INTERNATIONAL,0
59.78,LOW,NONE,DOMESTIC,0
82.65,LOW,NONE,INTERNATIONAL,1
3893.49,HIGH,LOW,DOMESTIC,1
72.58,LOW,NONE,DOMESTIC,0
682.38,MEDIUM,NONE,DOMESTIC,0
65.02,LOW,MEDIUM,INTERNATIONAL,1
773.75,MEDIUM,NONE,DOMESTIC,0
369.93,LOW,NONE,DOMESTIC,0
178.07,LOW,NONE,DOMESTIC,0
208.22,LOW,NONE,DOMESTIC,0
90.89,LOW,NONE,DOMESTIC,0
401.75,LOW,MEDIUM,INTERNATIONAL,0
119.03,LOW,NONE,DOMESTIC,0
42.06,LOW,NONE,INTERNATIONAL,0
39.19,LOW,NONE,DOMESTIC,0
277.72,LOW,LOW,INTERNATIONAL,0
1854.56,HIGH,NONE,DOMESTIC,0
273.04,LOW,NONE,DOMESTIC,0
187.44,LOW,MEDIUM,DOMESTIC,1
323.6,LOW,NONE,DOMESTIC,0
1282.71,HIGH,NONE,DOMESTIC,0
295.83,LOW,NONE,INTERNATIONAL,0
126.33,LOW,NONE,DOMESTIC,0
979.57,MEDIUM,NONE,DOMESTIC,0
392.47,LOW,NONE,DOMESTIC,0
1749.17,HIGH,NONE,INTERNATIONAL,0
281.74,LOW,NONE,DOMESTIC,0
42.12,LOW,NONE,DOMESTIC,0
34.7,LOW,NONE,DOMESTIC,0
2043.42,HIGH,NONE,DOMESTIC,0
2254.26,HIGH,NONE,DOMESTIC,0
172.65,LOW,NONE,DOMESTIC,0
131.15,LOW,HIGH,DOMESTIC,0
1582.21,HIGH,NONE,DOMESTIC,0
49.36,LOW,NONE,DOMESTIC,0
65.74,LOW,NONE,DOMESTIC,0
524.33,MEDIUM,NONE,INTERNATIONAL,0
129.14,LOW,MEDIUM,DOMESTIC,0
218.48,LOW,NONE,DOMESTIC,0
176.44,LOW,NONE,DOMESTIC,0
347.01,LOW,NONE,DOMESTIC,0
1471.04,HIGH,NONE,INTERNATIONAL,0
248.62,LOW,NONE,DOMESTIC,0
524.76,MEDIUM,NONE,DOMESTIC,0
13.82,LOW,NONE,DOMESTIC,0
206.0,LOW,NONE,DOMESTIC,0
70.48,LOW,NONE,INTERNATIONAL,0
42.45,LOW,NONE,DOMESTIC,0
67.23,LOW,NONE,DOMESTIC,0
140.13,LOW,NONE,INTERNATIONAL,0
757.55,MEDIUM,MEDIUM,INTERNATIONAL,0
36.71,LOW,NONE,DOMESTIC,0
229.29,LOW,NONE,DOMESTIC,0
114.43,LOW,NONE,DOMESTIC,0
141.35,LOW,HIGH,INTERNATIONAL,0
851.8,MEDIUM,NONE,DOMESTIC,0
454.9,LOW,NONE,DOMESTIC,0
1338.25,HIGH,NONE,INTERNATIONAL,1
178.58,LOW,NONE,DOMESTIC,0
85.98,LOW,NONE,DOMESTIC,0
162.62,LOW,MEDIUM,DOMESTIC,1
305.21,LOW,NONE,INTERNATIONAL,0
279.22,LOW,LOW,DOMESTIC,0
50.89,LOW,NONE,DOMESTIC,0
248.59,LOW,NONE,DOMESTIC,0
299.39,LOW,NONE,INTERNATIONAL,0
6582.81,HIGH,NONE,INTERNATIONAL,0
2772.12,HIGH,NONE,DOMESTIC,0
69.53,LOW,NONE,DOMESTIC,0
149.26,LOW,NONE,INTERNATIONAL,0
30.51,LOW,NONE,INTERNATIONAL,0
99.1,LOW,NONE,DOMESTIC,0
336.87,LOW,NONE,DOMESTIC,0
